2026-06-23T17:02:02+03:00
Running C:\programming\cpp\rate_limiter\build\benchmark\rate_limiter_bench.exe
Run on (16 X 3992 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1024 KiB (x8)
  L3 Unified 16384 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"p50_ns","p99_ns"
"BM_Uniform_Traffic<avito_limiter::MutexTokenLimiter>/1000/min_time:10.000/repeats:3/threads:8",8000,1.65133e+07,11718.8,ns,,85333.3,,,,1500,33200
"BM_Uniform_Traffic<avito_limiter::MutexTokenLimiter>/1000/min_time:10.000/repeats:3/threads:8",8000,1.7096e+07,15625,ns,,64000,,,,1500,41300
"BM_Uniform_Traffic<avito_limiter::MutexTokenLimiter>/1000/min_time:10.000/repeats:3/threads:8",8000,1.61739e+07,5859.38,ns,,170667,,,,1400,41900
"BM_Uniform_Traffic<avito_limiter::MutexTokenLimiter>/1000/min_time:10.000/repeats:3/threads:8_mean",3,1.65944e+07,11067.7,ns,,106667,,,,1466.67,38800
"BM_Uniform_Traffic<avito_limiter::MutexTokenLimiter>/1000/min_time:10.000/repeats:3/threads:8_median",3,1.65133e+07,11718.8,ns,,85333.3,,,,1500,41300
"BM_Uniform_Traffic<avito_limiter::MutexTokenLimiter>/1000/min_time:10.000/repeats:3/threads:8_stddev",3,466378,4915.26,ns,,56442.7,,,,57.735,4859.01
"BM_Uniform_Traffic<avito_limiter::MutexTokenLimiter>/1000/min_time:10.000/repeats:3/threads:8_cv",3,0.0281045,0.444108,,,0.52915,,,,0.0393648,0.125232
"BM_Uniform_Traffic<avito_limiter::MutexWinLimiter>/1000/min_time:10.000/repeats:3/threads:8",8000,1.65516e+07,13671.9,ns,,73142.9,,,,1800,55400
"BM_Uniform_Traffic<avito_limiter::MutexWinLimiter>/1000/min_time:10.000/repeats:3/threads:8",8000,1.52087e+07,13671.9,ns,,73142.9,,,,2000,61600
"BM_Uniform_Traffic<avito_limiter::MutexWinLimiter>/1000/min_time:10.000/repeats:3/threads:8",8000,1.39534e+07,9765.62,ns,,102400,,,,1700,64800
"BM_Uniform_Traffic<avito_limiter::MutexWinLimiter>/1000/min_time:10.000/repeats:3/threads:8_mean",3,1.52379e+07,12369.8,ns,,82895.2,,,,1833.33,60600
"BM_Uniform_Traffic<avito_limiter::MutexWinLimiter>/1000/min_time:10.000/repeats:3/threads:8_median",3,1.52087e+07,13671.9,ns,,73142.9,,,,1800,61600
"BM_Uniform_Traffic<avito_limiter::MutexWinLimiter>/1000/min_time:10.000/repeats:3/threads:8_stddev",3,1.29935e+06,2255.27,ns,,16891.6,,,,152.753,4779.12
"BM_Uniform_Traffic<avito_limiter::MutexWinLimiter>/1000/min_time:10.000/repeats:3/threads:8_cv",3,0.0852712,0.182321,,,0.203771,,,,0.0833196,0.0788634
"BM_Uniform_CrossShard_Traffic<ShardedWinLimiterAligned>/1000/min_time:10.000/repeats:3/threads:8",8000,1.37502e+07,9765.62,ns,,102400,,,,1600,39600
"BM_Uniform_CrossShard_Traffic<ShardedWinLimiterAligned>/1000/min_time:10.000/repeats:3/threads:8",8000,1.36693e+07,11718.8,ns,,85333.3,,,,1600,33800
"BM_Uniform_CrossShard_Traffic<ShardedWinLimiterAligned>/1000/min_time:10.000/repeats:3/threads:8",8000,1.38877e+07,15625,ns,,64000,,,,1600,45000
"BM_Uniform_CrossShard_Traffic<ShardedWinLimiterAligned>/1000/min_time:10.000/repeats:3/threads:8_mean",3,1.37691e+07,12369.8,ns,,83911.1,,,,1600,39466.7
"BM_Uniform_CrossShard_Traffic<ShardedWinLimiterAligned>/1000/min_time:10.000/repeats:3/threads:8_median",3,1.37502e+07,11718.8,ns,,85333.3,,,,1600,39600
"BM_Uniform_CrossShard_Traffic<ShardedWinLimiterAligned>/1000/min_time:10.000/repeats:3/threads:8_stddev",3,110432,2983.45,ns,,19239.5,,,,0,5601.19
"BM_Uniform_CrossShard_Traffic<ShardedWinLimiterAligned>/1000/min_time:10.000/repeats:3/threads:8_cv",3,0.00802029,0.241188,,,0.229284,,,,0,0.141922
"BM_Uniform_CrossShard_Traffic<ShardedWinLimiterCompact>/1000/min_time:10.000/repeats:3/threads:8",8000,1.36878e+07,9765.62,ns,,102400,,,,1700,50200
"BM_Uniform_CrossShard_Traffic<ShardedWinLimiterCompact>/1000/min_time:10.000/repeats:3/threads:8",8000,1.6583e+07,5859.38,ns,,170667,,,,1800,57700
"BM_Uniform_CrossShard_Traffic<ShardedWinLimiterCompact>/1000/min_time:10.000/repeats:3/threads:8",8000,1.55617e+07,15625,ns,,64000,,,,1700,46600
"BM_Uniform_CrossShard_Traffic<ShardedWinLimiterCompact>/1000/min_time:10.000/repeats:3/threads:8_mean",3,1.52775e+07,10416.7,ns,,112356,,,,1733.33,51500
"BM_Uniform_CrossShard_Traffic<ShardedWinLimiterCompact>/1000/min_time:10.000/repeats:3/threads:8_median",3,1.55617e+07,9765.62,ns,,102400,,,,1700,50200
"BM_Uniform_CrossShard_Traffic<ShardedWinLimiterCompact>/1000/min_time:10.000/repeats:3/threads:8_stddev",3,1.46837e+06,4915.26,ns,,54025.7,,,,57.735,5663.04
"BM_Uniform_CrossShard_Traffic<ShardedWinLimiterCompact>/1000/min_time:10.000/repeats:3/threads:8_cv",3,0.0961131,0.471865,,,0.480846,,,,0.0333087,0.109962
