2026-06-23T17:05:46+03:00
Running C:\programming\cpp\rate_limiter\build\benchmark\rate_limiter_bench.exe
Run on (16 X 3992 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1024 KiB (x8)
  L3 Unified 16384 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"p50_ns","p99_ns"
"BM_SparseBurst_Traffic<avito_limiter::MutexTokenLimiter>/min_time:10.000/repeats:3/threads:8",80,1.36158e+09,0,ns,,inf,,,,2500,103300
"BM_SparseBurst_Traffic<avito_limiter::MutexTokenLimiter>/min_time:10.000/repeats:3/threads:8",80,1.56543e+09,0,ns,,inf,,,,2700,162000
"BM_SparseBurst_Traffic<avito_limiter::MutexTokenLimiter>/min_time:10.000/repeats:3/threads:8",80,1.79773e+09,0,ns,,inf,,,,2700,58600
"BM_SparseBurst_Traffic<avito_limiter::MutexTokenLimiter>/min_time:10.000/repeats:3/threads:8_mean",3,1.57491e+09,0,ns,,inf,,,,2633.33,107967
"BM_SparseBurst_Traffic<avito_limiter::MutexTokenLimiter>/min_time:10.000/repeats:3/threads:8_median",3,1.56543e+09,0,ns,,inf,,,,2700,103300
"BM_SparseBurst_Traffic<avito_limiter::MutexTokenLimiter>/min_time:10.000/repeats:3/threads:8_stddev",3,2.18229e+08,0,ns,,-nan(ind),,,,115.47,51857.7
"BM_SparseBurst_Traffic<avito_limiter::MutexTokenLimiter>/min_time:10.000/repeats:3/threads:8_cv",3,0.138565,0,,,-nan(ind),,,,0.0438494,0.480312
"BM_SparseBurst_Traffic<avito_limiter::MutexWinLimiter>/min_time:10.000/repeats:3/threads:8",80,1.57145e+09,0,ns,,inf,,,,4000,52600
"BM_SparseBurst_Traffic<avito_limiter::MutexWinLimiter>/min_time:10.000/repeats:3/threads:8",80,1.52182e+09,0,ns,,inf,,,,4500,390900
"BM_SparseBurst_Traffic<avito_limiter::MutexWinLimiter>/min_time:10.000/repeats:3/threads:8",80,1.53161e+09,195312,ns,,5120,,,,4500,132200
"BM_SparseBurst_Traffic<avito_limiter::MutexWinLimiter>/min_time:10.000/repeats:3/threads:8_mean",3,1.54163e+09,65104.2,ns,,inf,,,,4333.33,191900
"BM_SparseBurst_Traffic<avito_limiter::MutexWinLimiter>/min_time:10.000/repeats:3/threads:8_median",3,1.53161e+09,0,ns,,inf,,,,4500,132200
"BM_SparseBurst_Traffic<avito_limiter::MutexWinLimiter>/min_time:10.000/repeats:3/threads:8_stddev",3,2.6289e+07,112764,ns,,-nan(ind),,,,288.675,176875
"BM_SparseBurst_Traffic<avito_limiter::MutexWinLimiter>/min_time:10.000/repeats:3/threads:8_cv",3,0.0170528,1.73205,,,-nan(ind),,,,0.0666173,0.921704
"BM_Burst_Traffic<avito_limiter::MutexTokenLimiter>/min_time:10.000/repeats:3/threads:8",8000,2.98215e+07,11718.8,ns,,85333.3,,,,1400,41400
"BM_Burst_Traffic<avito_limiter::MutexTokenLimiter>/min_time:10.000/repeats:3/threads:8",8000,2.98442e+07,15625,ns,,64000,,,,1000,27300
"BM_Burst_Traffic<avito_limiter::MutexTokenLimiter>/min_time:10.000/repeats:3/threads:8",8000,2.93139e+07,7812.5,ns,,128000,,,,1100,31100
"BM_Burst_Traffic<avito_limiter::MutexTokenLimiter>/min_time:10.000/repeats:3/threads:8_mean",3,2.96599e+07,11718.8,ns,,92444.4,,,,1166.67,33266.7
"BM_Burst_Traffic<avito_limiter::MutexTokenLimiter>/min_time:10.000/repeats:3/threads:8_median",3,2.98215e+07,11718.8,ns,,85333.3,,,,1100,31100
"BM_Burst_Traffic<avito_limiter::MutexTokenLimiter>/min_time:10.000/repeats:3/threads:8_stddev",3,299835,3906.25,ns,,32587.2,,,,208.167,7295.43
"BM_Burst_Traffic<avito_limiter::MutexTokenLimiter>/min_time:10.000/repeats:3/threads:8_cv",3,0.0101091,0.333333,,,0.352506,,,,0.178429,0.219302
"BM_Burst_Traffic<avito_limiter::MutexWinLimiter>/min_time:10.000/repeats:3/threads:8",8000,2.93377e+07,5859.38,ns,,170667,,,,1800,71600
"BM_Burst_Traffic<avito_limiter::MutexWinLimiter>/min_time:10.000/repeats:3/threads:8",8000,2.82458e+07,17578.1,ns,,56888.9,,,,1500,54500
"BM_Burst_Traffic<avito_limiter::MutexWinLimiter>/min_time:10.000/repeats:3/threads:8",8000,2.85018e+07,5859.38,ns,,170667,,,,1200,43900
"BM_Burst_Traffic<avito_limiter::MutexWinLimiter>/min_time:10.000/repeats:3/threads:8_mean",3,2.86951e+07,9765.62,ns,,132741,,,,1500,56666.7
"BM_Burst_Traffic<avito_limiter::MutexWinLimiter>/min_time:10.000/repeats:3/threads:8_median",3,2.85018e+07,5859.38,ns,,170667,,,,1500,54500
"BM_Burst_Traffic<avito_limiter::MutexWinLimiter>/min_time:10.000/repeats:3/threads:8_stddev",3,571056,6765.82,ns,,65689.6,,,,300,13976.5
"BM_Burst_Traffic<avito_limiter::MutexWinLimiter>/min_time:10.000/repeats:3/threads:8_cv",3,0.0199008,0.69282,,,0.494872,,,,0.2,0.246645
